hx = 0.1, hy = 0.2, a = 0.313, w = 0.65, freqs = [192.92303652 217.45383355], gamma = 0.0434
hx = 0.1, hy = 0.225, a = 0.313, w = 0.65, freqs = [193.1324839 219.7543138], gamma = 0.04421
hx = 0.1, hy = 0.25, a = 0.313, w = 0.65, freqs = [193.38104557 222.06636226], gamma = 0.04448
hx = 0.1, hy = 0.2, a = 0.314, w = 0.65, freqs = [192.50323837 216.91037021], gamma = 0.04521
hx = 0.1, hy = 0.225, a = 0.314, w = 0.65, freqs = [192.71256017 219.20288073], gamma = 0.04624
hx = 0.1, hy = 0.25, a = 0.314, w = 0.65, freqs = [192.95958423 221.4911419 ], gamma = 0.04675
hx = 0.1, hy = 0.225, a = 0.315, w = 0.65, freqs = [192.48316166 218.85956763], gamma = 0.04724
hx = 0.1, hy = 0.25, a = 0.315, w = 0.65, freqs = [192.73090913 221.14364489], gamma = 0.04786
hx = 0.1, hy = 0.275, a = 0.315, w = 0.65, freqs = [193.01130806 223.33073647], gamma = 0.04791
hx = 0.1, hy = 0.225, a = 0.316, w = 0.65, freqs = [192.06397828 218.28853477], gamma = 0.04898
hx = 0.1, hy = 0.25, a = 0.316, w = 0.65, freqs = [192.3106941  220.55198232], gamma = 0.04981
hx = 0.1, hy = 0.275, a = 0.316, w = 0.65, freqs = [192.59016707 222.71981614], gamma = 0.05007
hx = 0.125, hy = 0.2, a = 0.317, w = 0.65, freqs = [192.58477555 222.68529618], gamma = 0.05007
hx = 0.1, hy = 0.225, a = 0.317, w = 0.65, freqs = [191.64709655 217.72895863], gamma = 0.05056
hx = 0.1, hy = 0.25, a = 0.317, w = 0.65, freqs = [191.89163848 219.96054215], gamma = 0.05158
hx = 0.1, hy = 0.275, a = 0.317, w = 0.65, freqs = [192.17028174 222.1100983 ], gamma = 0.05204
hx = 0.125, hy = 0.2, a = 0.318, w = 0.65, freqs = [192.18017    222.17651853], gamma = 0.05204
hx = 0.125, hy = 0.225, a = 0.318, w = 0.65, freqs = [192.45443458 224.95366017], gamma = 0.05276
hx = 0.1, hy = 0.25, a = 0.318, w = 0.65, freqs = [191.50223101 219.42989514], gamma = 0.05311
hx = 0.1, hy = 0.275, a = 0.318, w = 0.65, freqs = [191.78078003 221.55571383], gamma = 0.05374
hx = 0.1, hy = 0.3, a = 0.318, w = 0.65, freqs = [192.11279491 223.64734359], gamma = 0.05374
hx = 0.125, hy = 0.2, a = 0.319, w = 0.65, freqs = [191.77640568 221.67511452], gamma = 0.05387
hx = 0.125, hy = 0.225, a = 0.319, w = 0.65, freqs = [192.04940729 224.43838496], gamma = 0.0548
hx = 0.125, hy = 0.25, a = 0.319, w = 0.65, freqs = [192.35656579 227.21991691], gamma = 0.05517
hx = 0.1, hy = 0.275, a = 0.319, w = 0.65, freqs = [191.39165492 221.00332195], gamma = 0.0553
hx = 0.1, hy = 0.3, a = 0.319, w = 0.65, freqs = [191.72476619 223.10078878], gamma = 0.05549
hx = 0.125, hy = 0.2, a = 0.32, w = 0.65, freqs = [191.38471961 221.25968538], gamma = 0.05559
hx = 0.125, hy = 0.225, a = 0.32, w = 0.65, freqs = [191.65605925 224.00473602], gamma = 0.05671
hx = 0.125, hy = 0.25, a = 0.32, w = 0.65, freqs = [191.96252055 226.77906108], gamma = 0.05728
hx = 0.125, hy = 0.225, a = 0.321, w = 0.65, freqs = [191.25027355 223.47159813], gamma = 0.05848
hx = 0.125, hy = 0.25, a = 0.321, w = 0.65, freqs = [191.55335777 226.20522683], gamma = 0.05925
hx = 0.125, hy = 0.275, a = 0.321, w = 0.65, freqs = [191.89707242 228.89884276], gamma = 0.05938
hx = 0.125, hy = 0.225, a = 0.322, w = 0.65, freqs = [190.84169802 222.91513596], gamma = 0.06011
hx = 0.125, hy = 0.25, a = 0.322, w = 0.65, freqs = [191.1441914  225.63322562], gamma = 0.06108
hx = 0.125, hy = 0.275, a = 0.322, w = 0.65, freqs = [191.48814113 228.32725017], gamma = 0.06142
hx = 0.125, hy = 0.225, a = 0.323, w = 0.65, freqs = [190.43685886 222.37931108], gamma = 0.06164
hx = 0.125, hy = 0.25, a = 0.323, w = 0.65, freqs = [190.73813716 225.07345121], gamma = 0.06278
hx = 0.125, hy = 0.275, a = 0.323, w = 0.65, freqs = [191.08050934 227.75006951], gamma = 0.06332
hx = 0.125, hy = 0.3, a = 0.323, w = 0.65, freqs = [191.46443832 230.56486107], gamma = 0.06337
hx = 0.125, hy = 0.25, a = 0.324, w = 0.65, freqs = [190.32925755 224.51261419], gamma = 0.06438
hx = 0.125, hy = 0.275, a = 0.324, w = 0.65, freqs = [190.66914818 227.17662496], gamma = 0.06512
hx = 0.125, hy = 0.3, a = 0.324, w = 0.65, freqs = [191.0521276  229.96726339], gamma = 0.06537
hx = 0.125, hy = 0.25, a = 0.325, w = 0.65, freqs = [189.91973535 223.94538419], gamma = 0.06587
hx = 0.125, hy = 0.275, a = 0.325, w = 0.65, freqs = [190.257343   226.59782818], gamma = 0.0668
hx = 0.125, hy = 0.3, a = 0.325, w = 0.65, freqs = [190.63964055 229.36745638], gamma = 0.06724
hx = 0.125, hy = 0.25, a = 0.326, w = 0.65, freqs = [189.5201134  223.46608948], gamma = 0.06732
hx = 0.125, hy = 0.275, a = 0.326, w = 0.65, freqs = [189.85712756 226.11772753], gamma = 0.06842
hx = 0.125, hy = 0.3, a = 0.326, w = 0.65, freqs = [190.23765903 228.86110255], gamma = 0.06902
hx = 0.125, hy = 0.275, a = 0.327, w = 0.65, freqs = [189.44657517 225.53556748], gamma = 0.06989
hx = 0.125, hy = 0.3, a = 0.327, w = 0.65, freqs = [189.8261411  228.24976272], gamma = 0.07066
hx = 0.125, hy = 0.325, a = 0.327, w = 0.65, freqs = [190.26921535 230.96513166], gamma = 0.07072
hx = 0.125, hy = 0.275, a = 0.328, w = 0.65, freqs = [189.03634889 224.9433215 ], gamma = 0.07126
hx = 0.125, hy = 0.3, a = 0.328, w = 0.65, freqs = [189.41497241 227.63920232], gamma = 0.0722
hx = 0.125, hy = 0.325, a = 0.328, w = 0.65, freqs = [189.85799437 230.32928724], gamma = 0.07242
hx = 0.125, hy = 0.275, a = 0.329, w = 0.65, freqs = [188.62639804 224.35248132], gamma = 0.07253
hx = 0.125, hy = 0.3, a = 0.329, w = 0.65, freqs = [189.00468795 227.03475255], gamma = 0.07364
hx = 0.125, hy = 0.325, a = 0.329, w = 0.65, freqs = [189.44549947 229.69420836], gamma = 0.07403
hx = 0.125, hy = 0.3, a = 0.33, w = 0.65, freqs = [188.75953229 226.55629142], gamma = 0.07433
hx = 0.125, hy = 0.325, a = 0.33, w = 0.65, freqs = [189.20076371 229.1985805 ], gamma = 0.07483
hx = 0.125, hy = 0.3, a = 0.331, w = 0.65, freqs = [188.37604645 226.08782007], gamma = 0.07565
hx = 0.125, hy = 0.325, a = 0.331, w = 0.65, freqs = [188.81572057 228.69984939], gamma = 0.07628
hx = 0.15, hy = 0.275, a = 0.332, w = 0.65, freqs = [189.30512897 231.37710813], gamma = 0.07635
hx = 0.125, hy = 0.3, a = 0.332, w = 0.65, freqs = [187.96750828 225.46370341], gamma = 0.07683
hx = 0.125, hy = 0.325, a = 0.332, w = 0.65, freqs = [188.40462045 228.04088922], gamma = 0.07762
hx = 0.15, hy = 0.275, a = 0.333, w = 0.65, freqs = [188.87540554 230.750571  ], gamma = 0.078
hx = 0.15, hy = 0.3, a = 0.333, w = 0.65, freqs = [189.31267702 233.99778019], gamma = 0.07865
hx = 0.125, hy = 0.325, a = 0.333, w = 0.65, freqs = [187.99459059 227.38696725], gamma = 0.07887
